"filename", "language", "TypeScript", "JSON", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\scott\source\repos\hr-talent-node\src\StaticViews\CandidateFeedback.html", "HTML", 0, 0, 399, 0, 0, 66, 465
"c:\Users\scott\source\repos\hr-talent-node\src\StaticViews\Login.html", "HTML", 0, 0, 38, 0, 0, 13, 51
"c:\Users\scott\source\repos\hr-talent-node\src\StaticViews\LoginResult.html", "HTML", 0, 0, 102, 0, 0, 33, 135
"c:\Users\scott\source\repos\hr-talent-node\src\StaticViews\OpenPositionsPersonalTab.html", "HTML", 0, 0, 247, 0, 0, 37, 284
"c:\Users\scott\source\repos\hr-talent-node\src\StaticViews\TeamTab.html", "HTML", 0, 0, 332, 0, 0, 47, 379
"c:\Users\scott\source\repos\hr-talent-node\src\StaticViews\TeamTabConfig.html", "HTML", 0, 0, 224, 0, 0, 35, 259
"c:\Users\scott\source\repos\hr-talent-node\src\StaticViews\js\common.js", "JavaScript", 0, 0, 0, 95, 3, 16, 114
"c:\Users\scott\source\repos\hr-talent-node\src\StaticViews\js\jwt-decode.js", "JavaScript", 0, 0, 0, 92, 15, 17, 124
"c:\Users\scott\source\repos\hr-talent-node\src\StaticViews\proactivemessaging.html", "HTML", 0, 0, 118, 0, 6, 27, 151
"c:\Users\scott\source\repos\hr-talent-node\src\auth.ts", "TypeScript", 70, 0, 0, 0, 2, 23, 95
"c:\Users\scott\source\repos\hr-talent-node\src\botApi.ts", "TypeScript", 36, 0, 0, 0, 12, 14, 62
"c:\Users\scott\source\repos\hr-talent-node\src\bots\teamsTalentMgmtBot.ts", "TypeScript", 107, 0, 0, 0, 29, 30, 166
"c:\Users\scott\source\repos\hr-talent-node\src\clientApi.ts", "TypeScript", 41, 0, 0, 0, 0, 9, 50
"c:\Users\scott\source\repos\hr-talent-node\src\commands\candidateDetailsCommand.ts", "TypeScript", 20, 0, 0, 0, 0, 10, 30
"c:\Users\scott\source\repos\hr-talent-node\src\commands\candidateSummaryCommand.ts", "TypeScript", 19, 0, 0, 0, 0, 8, 27
"c:\Users\scott\source\repos\hr-talent-node\src\commands\commandBase.ts", "TypeScript", 14, 0, 0, 0, 0, 4, 18
"c:\Users\scott\source\repos\hr-talent-node\src\commands\helpCommand.ts", "TypeScript", 18, 0, 0, 0, 0, 5, 23
"c:\Users\scott\source\repos\hr-talent-node\src\commands\newPositionCommand.ts", "TypeScript", 19, 0, 0, 0, 0, 9, 28
"c:\Users\scott\source\repos\hr-talent-node\src\commands\positionDetailsCommand.ts", "TypeScript", 19, 0, 0, 0, 0, 9, 28
"c:\Users\scott\source\repos\hr-talent-node\src\commands\signInCommand.ts", "TypeScript", 28, 0, 0, 0, 3, 9, 40
"c:\Users\scott\source\repos\hr-talent-node\src\commands\signOutCommand.ts", "TypeScript", 19, 0, 0, 0, 1, 11, 31
"c:\Users\scott\source\repos\hr-talent-node\src\commands\topCandidatesCommand.ts", "TypeScript", 22, 0, 0, 0, 0, 8, 30
"c:\Users\scott\source\repos\hr-talent-node\src\index.ts", "TypeScript", 31, 0, 0, 0, 12, 12, 55
"c:\Users\scott\source\repos\hr-talent-node\src\sampleData\candidates.json", "JSON", 0, 110, 0, 0, 0, 0, 110
"c:\Users\scott\source\repos\hr-talent-node\src\sampleData\interviews.json", "JSON", 0, 20, 0, 0, 0, 0, 20
"c:\Users\scott\source\repos\hr-talent-node\src\sampleData\locations.json", "JSON", 0, 42, 0, 0, 0, 0, 42
"c:\Users\scott\source\repos\hr-talent-node\src\sampleData\positions.json", "JSON", 0, 29, 0, 0, 0, 0, 29
"c:\Users\scott\source\repos\hr-talent-node\src\sampleData\recruiters.json", "JSON", 0, 60, 0, 0, 0, 0, 60
"c:\Users\scott\source\repos\hr-talent-node\src\services\data\botService.ts", "TypeScript", 27, 0, 0, 0, 6, 7, 40
"c:\Users\scott\source\repos\hr-talent-node\src\services\data\candidateService.ts", "TypeScript", 43, 0, 0, 0, 0, 19, 62
"c:\Users\scott\source\repos\hr-talent-node\src\services\data\dataService.ts", "TypeScript", 86, 0, 0, 0, 0, 17, 103
"c:\Users\scott\source\repos\hr-talent-node\src\services\data\dtos.ts", "TypeScript", 109, 0, 0, 0, 1, 15, 125
"c:\Users\scott\source\repos\hr-talent-node\src\services\data\graphApiService.ts", "TypeScript", 104, 0, 0, 0, 10, 28, 142
"c:\Users\scott\source\repos\hr-talent-node\src\services\data\interviewService.ts", "TypeScript", 19, 0, 0, 0, 0, 7, 26
"c:\Users\scott\source\repos\hr-talent-node\src\services\data\locationService.ts", "TypeScript", 11, 0, 0, 0, 0, 5, 16
"c:\Users\scott\source\repos\hr-talent-node\src\services\data\notificationService.ts", "TypeScript", 49, 0, 0, 0, 0, 12, 61
"c:\Users\scott\source\repos\hr-talent-node\src\services\data\positionService.ts", "TypeScript", 42, 0, 0, 0, 0, 14, 56
"c:\Users\scott\source\repos\hr-talent-node\src\services\data\recruiterService.ts", "TypeScript", 21, 0, 0, 0, 0, 6, 27
"c:\Users\scott\source\repos\hr-talent-node\src\services\data\serviceContainer.ts", "TypeScript", 39, 0, 0, 0, 0, 6, 45
"c:\Users\scott\source\repos\hr-talent-node\src\services\data\templatingService.ts", "TypeScript", 170, 0, 0, 0, 0, 23, 193
"c:\Users\scott\source\repos\hr-talent-node\src\services\invokeActivityHandler.ts", "TypeScript", 193, 0, 0, 0, 0, 43, 236
"c:\Users\scott\source\repos\hr-talent-node\src\services\tokenProvider.ts", "TypeScript", 16, 0, 0, 0, 0, 5, 21
"c:\Users\scott\source\repos\hr-talent-node\src\templates\candidateTemplate.json", "JSON", 0, 224, 0, 0, 0, 0, 224
"c:\Users\scott\source\repos\hr-talent-node\src\templates\newPositionTemplate.json", "JSON", 0, 154, 0, 0, 0, 0, 154
"c:\Users\scott\source\repos\hr-talent-node\src\templates\positionTemplate.json", "JSON", 0, 61, 0, 0, 0, 0, 61
"c:\Users\scott\source\repos\hr-talent-node\src\utilityApi.ts", "TypeScript", 69, 0, 0, 0, 13, 18, 100
"Total", "-", 1461, 700, 1460, 187, 113, 677, 4598